nome;jogo12;jogo11;jogo10;jogo09;jogo08;jogo07;jogo06;jogo05;jogo04;jogo03;jogo02;jogo01
(’3‘;Milho cozido;Caldo canjiquinha;0;Galinhada;Espetinho de chocolate;Doce de leite;0;0;0;0;0;0
8’2;;;0;0;0;0;;;Chocolate quente;Cocada branca;;0
Iaylaps;Milho na brasa;0;0;0;0;Pagoca;Bolo de milho;0;Caldo de cana;Cocada branca;Canjica de coco;Bolo de fubé
Iebulin.oﬁcia|;Pamonha de sal;Caldo vaca atolada;Salsichéo;Arroz carreteiro;Espetinho de chocolate;Doce de leite;Bolo de milho;0;Chocolate quente;Cocada morena;Canjica de amendoim;Bolo de fubé
Ifformigari;Milho na brasa;0;0;Arroz carreteiro;Espetinho de chocolate;Rapadura;Bolo de milho;Quentéo de cachaga;Caldo de cana;0;Arroz doce;Bolo de mandioca
Iidiamamede;;Caldo de feijéo;Cachorro quente;Vatapé de frango;Espetinho de chocolate;Pagoca;Bolo de milho;Choconhaque;Suco de milho;Pé de moga;Curau de milho;Pamonha doce
_andressa42_;;0;0;0;Espetinho de chocolate;Amendoim doce;0;Choconhaque;0;Pé de moleque;Canjica de amendoim;Bolo de mandioca
_danielamara|;;Caldo verde;Cachorro quente;Arroz carreteiro;Espetinho de chocolate;0;0;;0;Pé de moga;Curau de milho;Pamonha doce
_im|ets;;Caldo verde;0;0;Magé do amor;0;Bolo de milho;Quentéo de cachaga;Chocolate quente;;Canjica de coco;Pamonha doce
_onedaydc;Milho cozido;Caldo verde;Cachorro quente;Espetinho;Espetinho de chocolate;Pagoca;Bolo de milho;0;Chocolate quente;0;Curau de milho;Pamonha doce
a;;;0;0;0;0;Bolo de milho;;0;0;;0
abeatrisz;;Caldo vaca atolada;0;Arroz carreteiro;Pipoca caramelizada;Doce de leite;Bolo de milho;Choconhaque;Chocolate quente;Cocada branca;Canjica de amendoim;Pamonha doce
abr_matheus;;0;0;0;Espetinho de chocolate;Pagoca;Bolo de milho;Choconhaque;0;Pé de moga;Canjica de amendoim;Pamonha doce
adacaﬂne;Pipoca de sal;Caldo verde;Cachorro quente;Vatapé de frango;0;Doce de leite;Bolo de milho;0;Chocolate quente;0;0;0
afonsofonbraga;Pipoca de sal;Caldo verde;0;0;Magé do amor;Amendoim doce;Bolo de tapioca;Quentéo de cachaga;Caldo de cana;Cocada morena;Arroz doce;Bolo de fubé
alan.ﬁs10;Pamonha de sal;Caldo vaca atolada;Pastel (de carne ou de queijo);Galinhada;Pipoca caramelizada;Amendoim doce;Quebra-queixo;0;Caldo de cana;Pé de moleque;Canjica de coco;Bolo de fubé
albmatsuda;Pipoca de sal;Caldo vaca atolada;Cachorro quente;Galinhada;Espetinho de chocolate;0;Bolo de tapioca;Choconhaque;Chocolate quente;0;0;0
alexander.lmx;Milho cozido;Caldo vaca atolada;Pastel (de carne ou de queijo);Espetinho;Espetinho de chocolate;Pagoca;Bolo de tapioca;Choconhaque;0;0;Curau de milho;0
alvesssj;Milho na brasa;Caldo de feijéo;Pastel (de carne ou de queijo);Espetinho;Pipoca caramelizada;Amendoim doce;Bolo de milho;0;0;0;0;0
amandalucasp;;0;0;0;0;Doce de leite;0;Camel;Chocolate quente;0;Curau de milho;0
amendoiza;;0;0;0;0;0;0;Choconhaque;Chocolate quente;Pé de moga;Canjica de coco;Pamonha doce
anabaccarin_61;;0;0;0;Espetinho de chocolate;Doce de leite;0;Choconhaque;Chocolate quente;Pé de moleque;Curau de milho;Bolo de fubé
and_rurik;;0;0;0;Pipoca caramelizada;Pagoca;0;Choconhaque;Caldo de cana;0;0;0
andreprta;Milho na brasa;Caldo de feijéo;Pastel (de carne ou de queijo);Espetinho;Magé do amor;Pagoca;Bolo de milho;Choconhaque;Chocolate quente;Cocada morena;Canjica de amendoim;Bolo de coco
andrezabona;Milho na brasa;Caldo de feijéo;Pastel (de carne ou de queijo);Galinhada;Magé do amor;0;0;Choconhaque;Caldo de cana;Cocada morena;Canjica de coco;Bolo de coco
antonioxalves;Milho na brasa;Caldo de feijéo;Cachorro quente;Espetinho;Algodéo doce;Pagoca;Bolo de milho;Quentéo de vinho;Chocolate quente;0;Arroz doce;0
arthurbeggs;Milho na brasa;0;Pastel (de carne ou de queijo);Arroz carreteiro;Pipoca caramelizada;Pagoca;Bolo de milho;Quentéo de cachaga;Chocolate quente;Pé de moga;Canjica de amendoim;Pamonha doce
arthurnonaka;;0;0;0;0;0;0;Quentéo de cachaga;Chocolate quente;Cocada morena;0;Pamonha doce
avelariago;Pipoca de sal;Caldo de feijéo;Pastel (de carne ou de queijo);0;Espetinho de chocolate;Doce de leite;Bolo de tapioca;Choconhaque;0;Cocada branca;Curau de milho;Bolo de fubé
ayalla.e;Milho cozido;Caldo vaca atolada;Pastel (de carne ou de queijo);Galinhada;0;0;0;0;0;0;0;0
babimi|e_;Pamonha de sal;Caldo de feijéo;Pastel (de carne ou de queijo);0;Magé do amor;Pagoca;Bolo de milho;Quentéo de vinho;Caldo de cana;Pé de moleque;Canjica de amendoim;Pamonha doce
barbarabrisa;Milho na brasa;Caldo verde;Cachorro quente;Arroz carreteiro;Magé do amor;Pagoca;0;Quentéo de vinho;Caldo de cana;Cocada branca;Canjica de amendoim;Pamonha doce
baruscoph;Pamonha de sal;Caldo verde;Buraco quente;Espetinho;Espetinho de chocolate;Doce de leite;Quebra-queixo;0;0;0;0;0
beatrizuchoa;Milho cozido;Caldo verde;Pastel (de carne ou de queijo);Vatapé de frango;0;Doce de leite;Bolo de milho;0;0;0;0;0
bingotestee;Pamonha de sal;Caldo vaca atolada;0;Arroz carreteiro;Magé do amor;Amendoim doce;Quebra-queixo;Quentéo de cachaga;0;Pé de moga;Canjica de amendoim;Pamonha doce
blood_pressures;Milho cozido;Caldo de feijéo;Pastel (de carne ou de queijo);Espetinho;Pipoca caramelizada;Pagoca;Bolo de milho;0;Chocolate quente;Pé de moleque;Canjica de amendoim;0
brando_wi|han;;Caldo vaca atolada;Cachorro quente;Espetinho;Espetinho de chocolate;0;0;Choconhaque;Chocolate quente;0;Canjica de amendoim;Bolo de mandioca
briatez;;0;Pastel (de carne ou de queijo);Arroz carreteiro;Espetinho de chocolate;Rapadura;Bolo de milho;Quentéo de cachaga;Chocolate quente;Cocada morena;0;Bolo de mandioca
brunoriether;Pipoca de sal;Caldo verde;Cachorro quente;Arroz carreteiro;0;0;Bolo de milho;0;Caldo de cana;0;Canjica de coco;0
caioamoreira;Pamonha de sal;Caldo verde;Pastel (de carne ou de queijo);0;Magé do amor;Pagoca;0;0;0;Cocada branca;Canjica de coco;Pamonha doce
camila_cardoso;Pamonha de sal;Caldo vaca atolada;Cachorro quente;Espetinho;Algodéo doce;Doce de leite;Bolo de milho;0;0;0;0;0
camilamakiuchi;;0;0;0;Espetinho de chocolate;Pagoca;Bolo de tapioca;Choconhaque;Chocolate quente;Cocada branca;0;0
camillecba;Milho cozido;0;Pastel (de carne ou de queijo);Espetinho;Magé do amor;Pagoca;Bolo de milho;0;Chocolate quente;Cocada branca;Canjica de coco;Bolo de coco
carol_zebra;Pipoca de sal;Caldo verde;Pastel (de carne ou de queijo);Arroz carreteiro;Pipoca caramelizada;0;Bolo de milho;0;0;Pé de moleque;Curau de milho;Bolo de mandioca
caroli.b;Pamonha de sal;0;Cachorro quente;Espetinho;0;0;Bolo de milho;Choconhaque;Chocolate quente;Pé de moga;0;Pamonha doce
carvalho_marcos_;Pamonha de sal;Caldo vaca atolada;0;Galinhada;Espetinho de chocolate;Pagoca;Bolo de milho;Choconhaque;Crentéo;Cocada morena;Canjica de amendoim;Pamonha doce
clarifranca;Milho cozido;Caldo de feijéo;Pastel (de carne ou de queijo);Galinhada;0;0;0;0;0;0;0;0
crlsncc;Milho na brasa;Caldo vaca atolada;Pastel (de carne ou de queijo);Arroz carreteiro;Espetinho de chocolate;0;Quebra-queixo;0;0;0;0;0
darahduarte;Pipoca de sal;Caldo de feijéo;Pastel (de carne ou de queijo);0;0;Doce de leite;Bolo de milho;0;0;Pé de moleque;Canjica de amendoim;0
de_akrish;Pipoca de sal;Caldo vaca atolada;Buraco quente;Arroz carreteiro;Espetinho de chocolate;Pagoca;Bolo de milho;0;0;0;0;0
debrisdebra;Milho cozido;Caldo verde;Cachorro quente;Espetinho;Pipoca caramelizada;0;0;0;0;0;0;0
delicias_da_dri31;Milho cozido;Caldo verde;0;Arroz carreteiro;Pipoca caramelizada;Doce de leite;0;Quentéo de vinho;Chocolate quente;Cocada morena;Canjica de amendoim;Bolo de mandioca
dfsbora;;0;Cachorro quente;Arroz carreteiro;0;Amendoim doce;Bolo de tapioca;Quentéo de vinho;Chocolate quente;0;0;0
drageovannacecchin;Pipoca de sal;Caldo vaca atolada;Pastel (de carne ou de queijo);Espetinho;0;0;0;0;0;0;0;0
eliuzaeduarda;Milho cozido;Caldo verde;Cachorro quente;Arroz carreteiro;0;0;0;0;Chocolate quente;Cocada branca;0;Bolo de fubé
emilly.ﬂ;Milho cozido;Caldo de feijéo;Pastel (de carne ou de queijo);Galinhada;Pipoca caramelizada;Doce de leite;Bolo de milho;0;Chocolate quente;Pé de moga;Arroz doce;Pamonha doce
emily,souza,r;;0;Salsichéo;Arroz carreteiro;0;Doce de leite;Bolo de tapioca;Choconhaque;Chocolate quente;Cocada branca;Arroz doce;Bolo de coco
ericvcastro123;Milho na brasa;Caldo vaca atolada;Cachorro quente;Arroz carreteiro;Espetinho de chocolate;Pagoca;Bolo de tapioca;Quentéo de vinho;Caldo de cana;0;Canjica de coco;0
fabiofernandesO7_;Pamonha de sal;Caldo de feijéo;Pastel (de carne ou de queijo);Arroz carreteiro;Espetinho de chocolate;Pagoca;Bolo de milho;Quentéo de vinho;0;0;Curau de milho;Pamonha doce
fabiofully;;0;Cachorro quente;0;0;Pagoca;0;Choconhaque;Chocolate quente;Cocada morena;Arroz doce;Bolo de coco
fabiowakai;Milho na brasa;Caldo de feijéo;Pastel (de carne ou de queijo);0;Magé do amor;Amendoim doce;Bolo de milho;Quentéo de vinho;Suco de milho;Pé de moleque;Arroz doce;Bolo de fubé
felipedalosto;Milho cozido;Caldo verde;Pastel (de carne ou de queijo);0;0;Pagoca;Bolo de tapioca;Quentéo de vinho;Chocolate quente;0;0;Pamonha doce
felipehiroshi92;Milho cozido;Caldo verde;Cachorro quente;Arroz carreteiro;Magé do amor;Doce de leite;Bolo de pé de moleque;Choconhaque;Caldo de cana;Pé de moleque;0;Bolo de coco
fellipepradella;Milho na brasa;Caldo vaca atolada;Buraco quente;Espetinho;Magé do amor;Pagoca;Quebra-queixo;0;0;0;0;0
gaabrielaleal;Milho cozido;Caldo verde;Cachorro quente;Espetinho;Espetinho de chocolate;Doce de leite;Bolo de pé de moleque;Quentéo de vinho;Chocolate quente;0;Arroz doce;Bolo de coco
gabi_herrera10;Pamonha de sal;0;Cachorro quente;Arroz carreteiro;Magé do amor;Pagoca;0;Quentéo de vinho;Crentéo;Cocada branca;Canjica de coco;Pamonha doce
gabicsampaio;Milho cozido;Caldo canjiquinha;Cachorro quente;Galinhada;Espetinho de chocolate;Doce de leite;0;0;0;0;0;0
gabugabe;;0;0;0;0;0;0;Quentéo de vinho;Chocolate quente;0;Arroz doce;Bolo de coco
gcdelgadO;Milho cozido;Caldo de feijéo;Cachorro quente;0;0;Rapadura;0;Quentéo de cachaga;Chocolate quente;0;0;Pamonha doce
gdsdourado;;0;0;0;0;Pagoca;Quebra-queixo;;0;Cocada morena;Curau de milho;0
geovannacecchin;Milho cozido;Caldo vaca atolada;Pastel (de carne ou de queijo);Espetinho;Pipoca caramelizada;Amendoim doce;Quebra-queixo;0;0;0;Canjica de coco;Pamonha doce
gildorsj;;Caldo canjiquinha;0;Espetinho;0;0;0;;Chocolate quente;Pé de moleque;Canjica de amendoim;Bolo de fubé
glaucio_teixeira;Pipoca de sal;Caldo de feijéo;Pastel (de carne ou de queijo);Espetinho;Magé do amor;Pagoca;Bolo de milho;Choconhaque;Chocolate quente;Pé de moleque;Arroz doce;Bolo de fubé
glehnunes;Pamonha de sal;Caldo vaca atolada;Buraco quente;Arroz carreteiro;Magé do amor;Doce de leite;Quebra-queixo;Choconhaque;Crentéo;Cocada morena;Canjica de coco;Pamonha doce
gleidsonf_;Milho na brasa;Caldo canjiquinha;Buraco quente;Vatapé de frango;Espetinho de chocolate;Pagoca;Bolo de milho;0;0;0;0;0
glhrmbrz;Milho cozido;Caldo de feijéo;0;0;Magé do amor;0;Bolo de milho;Choconhaque;Chocolate quente;Pé de moga;Canjica de coco;Bolo de mandioca
gu.lg|;Milho cozido;Caldo verde;Pastel (de carne ou de queijo);Arroz carreteiro;0;0;Bolo de milho;Quentéo de vinho;Caldo de cana;Pé de moga;Curau de milho;0
guiilhermecastro;Pamonha de Sal;0;Cachorro quente;Espetinho;Pipoca caramelizada;Pagoca;Bolo de milho;Choconhaque;Caldo de cana;Pé de moga;Canjica de coco;Pamonha doce
gvanerven;;0;0;0;0;0;0;Quentéo de vinho;Chocolate quente;0;Curau de milho;Bolo de mandioca
hairlelemos1;Milho cozido;Caldo vaca atolada;Cachorro quente;Espetinho;0;0;0;0;0;0;0;0
hericles.ferraz;Milho cozido;Caldo de feijéo;Cachorro quente;0;Espetinho de chocolate;Pagoca;Bolo de milho;0;0;0;0;0
heyaragao;Pamonha de sal;Caldo de feijéo;Pastel (de carne ou de queijo);Arroz carreteiro;Pipoca caramelizada;Pagoca;0;Quentéo de vinho;Chocolate quente;Pé de moga;Curau de milho;Bolo de mandioca
heyjemjem;Milho cozido;Caldo verde;Pastel (de carne ou de queijo);Galinhada;Espetinho de chocolate;Amendoim doce;Bolo de milho;Quentéo de vinho;Chocolate quente;Cocada morena;Arroz doce;Bolo de coco
hidethebeans;Pamonha de sal;Caldo canjiquinha;Pastel (de carne ou de queijo);Espetinho;Espetinho de chocolate;Pagoca;Bolo de pé de moleque;0;Chocolate quente;Pé de moga;Arroz doce;Bolo de fubé
hina_amara|;Pamonha de sal;Caldo de feijéo;Cachorro quente;Vatapé de frango;Pipoca caramelizada;Doce de leite;0;0;Caldo de cana;Cocada branca;0;Bolo de coco
isadelavechia;Pamonha de sal;Caldo verde;Pastel (de carne ou de queijo);Espetinho;Pipoca caramelizada;Doce de leite;0;0;Chocolate quente;0;0;Pamonha doce
j_robert001;Pamonha de sal;Caldo canjiquinha;Buraco quente;Galinhada;Magé do amor;0;0;Choconhaque;Caldo de cana;Cocada morena;0;Bolo de mandioca
jjooohr;;0;0;0;0;0;0;Quentéo de vinho;Crentéo;Cocada morena;Arroz doce;0
jonatasmedeirosjunior;Milho na brasa;0;Buraco quente;Espetinho;0;Pagoca;0;Choconhaque;Chocolate quente;Pé de moga;Canjica de coco;Pamonha doce
jonatassaguiar;Pipoca de sal;Caldo de feijéo;Pastel (de carne ou de queijo);Espetinho;0;0;0;0;Chocolate quente;Cocada morena;Canjica de coco;Bolo de coco
jucaramedeirodeoliveira;Milho cozido;Caldo verde;Pastel (de carne ou de queijo);Arroz carreteiro;Magé do amor;Doce de leite;Bolo de pé de moleque;Quentéo de cachaga;0;0;0;0
juliafeliceb;Milho cozido;Caldo vaca atolada;Cachorro quente;0;Algodéo doce;Pagoca;Bolo de milho;0;0;Pé de moga;Arroz doce;0
juliagrdo;Milho cozido;Caldo vaca atolada;Pastel (de carne ou de queijo);Arroz carreteiro;Pipoca caramelizada;0;Bolo de milho;Camel;Caldo de cana;Cocada morena;Arroz doce;Bolo de fubé
