nome;jogo03;jogo09;jogo07;jogo10;jogo08;jogo01;jogo04;jogo06;jogo11;jogo02;jogo05;jogo12
carol_zebra;Pé de moleque;Arroz carreteiro;0;Pastel (de carne ou de queijo);Pipoca caramelizada;Bolo de mandioca;0;Bolo de milho;Caldo verde;Curau de milho;0;Pipoca de sal
maisumaisadora;0;Espetinho;Pagoca;Cachorro quente;Espetinho de chocolate;0;Chocolate quente;0;Caldo verde;Canjica de coco;0;Pipoca de sal
|uci_aguiarc;Cocada branca;0;Pagoca;Pastel (de carne ou de queijo);0;Bolo de coco;0;Bolo de milho;0;0;Choconhaque;Pipoca de sal
m_calci;Pé de moleque;Arroz carreteiro;Pagoca;Cachorro quente;Pipoca caramelizada;Bolo de mandioca;Chocolate quente;0;0;0;0;Pipoca de sal
glaucio_teixeira;Pé de moleque;Espetinho;Pagoca;Pastel (de carne ou de queijo);Magé do amor;Bolo de fubé;Chocolate quente;Bolo de milho;Caldo de feijéo;Arroz doce;Choconhaque;Pipoca de sal
phfaber;0;Arroz carreteiro;Doce de leite;Pastel (de carne ou de queijo);Pipoca caramelizada;0;Chocolate quente;0;Caldo vaca atolada;0;Choconhaque;Pipoca de sal
brunoriether;0;Arroz carreteiro;0;Cachorro quente;0;0;Caldo de cana;Bolo de milho;Caldo verde;Canjica de coco;0;Pipoca de sal
ﬁllipemanhaes;Cocada branca;0;0;Pastel (de carne ou de queijo);Algodéo doce;Bolo de fubé;0;Bolo de milho;Caldo de feijéo;Canjica de coco;Choconhaque;Pipoca de sal
kassyah20;0;0;Doce de leite;Cachorro quente;Magé do amor;0;Chocolate quente;Quebra-queixo;Caldo vaca atolada;0;Quentéo de cachaga;Pipoca de sal
samuelss15;Pé de moga;0;Pagoca;Pastel (de carne ou de queijo);Espetinho de chocolate;0;Crentéo;Bolo de milho;0;Arroz doce;Quentéo de vinho;Pipoca de sal
crlsncc;0;Arroz carreteiro;0;Pastel (de carne ou de queijo);Espetinho de chocolate;0;0;Quebra-queixo;Caldo vaca atolada;0;0;Milho na brasa
nina_diniz;0;0;0;Cachorro quente;Espetinho de chocolate;0;0;Bolo de milho;Caldo verde;0;0;Milho na brasa
andrezabona;Cocada morena;Galinhada;0;Pastel (de carne ou de queijo);Magé do amor;Bolo de coco;Caldo de cana;0;Caldo de feijéo;Canjica de coco;Choconhaque;Milho na brasa
barbarabrisa;Cocada branca;Arroz carreteiro;Pagoca;Cachorro quente;Magé do amor;Pamonha doce;Caldo de cana;0;Caldo verde;Canjica de amendoim;Quentéo de vinho;Milho na brasa
m;0;Arroz carreteiro;Pagoca;Cachorro quente;Magé do amor;0;Caldo de cana;0;Caldo verde;Canjica de amendoim;Quentéo de vinho;Milho na brasa
professorasandrajang;0;Espetinho;Pagoca;Pastel (de carne ou de queijo);Pipoca caramelizada;0;0;0;Caldo verde;0;0;Milho na brasa
alvesssj;0;Espetinho;Amendoim doce;Pastel (de carne ou de queijo);Pipoca caramelizada;0;0;Bolo de milho;Caldo de feijéo;0;0;Milho na brasa
andreprta;Cocada morena;Espetinho;Pagoca;Pastel (de carne ou de queijo);Magé do amor;Bolo de coco;Chocolate quente;Bolo de milho;Caldo de feijéo;Canjica de amendoim;Choconhaque;Milho na brasa
leorodarte;Pé de moga;Arroz carreteiro;Amendoim doce;Pastel (de carne ou de queijo);Pipoca caramelizada;Bolo de mandioca;Chocolate quente;Bolo de pé de moleque;Caldo verde;Canjica de amendoim;Quentéo de cachaga;Milho na brasa
ericvcastro123;0;Arroz carreteiro;Pagoca;Cachorro quente;Espetinho de chocolate;0;Caldo de cana;Bolo de tapioca;Caldo vaca atolada;Canjica de coco;Quentéo de vinho;Milho na brasa
raquelpisilva;Cocada morena;Vatapé de frango;Pagoca;Pastel (de carne ou de queijo);Pipoca caramelizada;Bolo de mandioca;0;Quebra-queixo;Caldo canjiquinha;Curau de milho;Camel;Milho na brasa
tharikalves;Cocada branca;Espetinho;Amendoim doce;Cachorro quente;0;Bolo de coco;Chocolate quente;Quebra-queixo;Caldo verde;Arroz doce;Quentéo de vinho;Milho cozido
lorenagarciac;Pé de moga;Espetinho;Pagoca;0;Espetinho de chocolate;0;Chocolate quente;Bolo de milho;0;Canjica de coco;Quentéo de vinho;Milho cozido
_onedaydc;0;Espetinho;Pagoca;Cachorro quente;Espetinho de chocolate;Pamonha doce;Chocolate quente;Bolo de milho;Caldo verde;Curau de milho;0;Milho cozido
jucaramedeirodeoliveira;0;Arroz carreteiro;Doce de leite;Pastel (de carne ou de queijo);Magé do amor;0;0;Bolo de pé de moleque;Caldo verde;0;Quentéo de cachaga;Milho cozido
gcdelgadO;0;0;Rapadura;Cachorro quente;0;Pamonha doce;Chocolate quente;0;Caldo de feijéo;0;Quentéo de cachaga;Milho cozido
